,EVENT,BOUT,FIGHTER_RED,FIGHTER_BLUE,KD_RED,KD_BLUE,SIG_STR_LAND_RED,SIG_STR_ATT_RED,SIG_STR_LAND_BLUE,SIG_STR_ATT_BLUE,TOTAL_STR_LAND_RED,TOTAL_STR_ATT_RED,TOTAL_STR_LAND_BLUE,TOTAL_STR_ATT_BLUE,TD_RED,TD_ATT_RED,TD_BLUE,TD_ATT_BLUE,SUB_ATT_RED,SUB_ATT_BLUE,REV_RED,REV_BLUE,CTRL_TIME_RED(sec),CTRL_TIME-BLUE(sec),HEAD_LAND_RED,HEAD_ATT_RED,HEAD_LAND_BLUE,HEAD_ATT_BLUE,BODY_LAND_RED,BODY_ATT_RED,BODY_LAND_BLUE,BODY_ATT_BLUE,LEG_LAND_RED,LEG_ATT_RED,LEG_LAND_BLUE,LEG_ATT_BLUE,STD_STR_LAND_RED,STD_STR_ATT_RED,STD_STR_LAND_BLUE,STD_STR_ATT_BLUE,CLINCH_STR_LAND_RED,CLINCH_STR_ATT_RED,CLINCH_STR_LAND_BLUE,CLINCH_STR_ATT_BLUE,GRD_STR_LAND_RED,GRD_STR_ATT_RED,GRD_STR_LAND_BLUE,GRD_STR_ATT_BLUE,WIN_BY,Fight_Time_(sec),LAST_ROUND,FORMAT,WINNER,WeightClass
64,UFC 39: The Warriors Return,Ricco Rodriguez vs Randy Couture,Ricco Rodriguez,Randy Couture,0,0,39,80,39,78,128,172,75,114,4,5,5,5,1,0,0,1,665,530,34,72,32,70,4,7,5,6,1,1,2,2,7,26,9,26,2,4,5,8,30,50,25,44,KO/TKO ,1384,5,5,Ricco Rodriguez,UFC Heavyweight Title Bout
65,UFC 38: Brawl at the Hall,Evan Tanner vs Chris Haseman,Evan Tanner,Chris Haseman,0,0,70,98,14,20,131,161,49,56,3,5,0,0,0,2,0,0,829,14,47,71,3,8,21,23,6,6,2,4,5,6,7,9,5,9,10,13,5,7,53,76,4,4,Decision - Unanimous ,900,3,3,Evan Tanner,Light Heavyweight Bout
66,UFC 38: Brawl at the Hall,Renato Sobral vs Elvis Sinosic,Renato Sobral,Elvis Sinosic,0,0,42,90,7,20,117,174,79,99,4,4,0,1,0,0,0,0,778,3,36,83,3,15,2,2,3,3,4,5,1,2,9,18,6,18,0,0,0,0,33,72,1,2,Decision - Unanimous ,900,3,3,Renato Sobral,Light Heavyweight Bout
67,UFC 38: Brawl at the Hall,Phillip Miller vs James Zikic,Phillip Miller,James Zikic,0,0,30,53,29,66,82,114,55,93,4,22,0,1,0,1,0,0,583,166,24,45,20,56,4,6,8,9,2,2,1,1,8,14,8,25,7,11,11,18,15,28,10,23,Decision - Unanimous ,900,3,3,Phillip Miller,Light Heavyweight Bout
68,UFC 38: Brawl at the Hall,Genki Sudo vs Leigh Remedios,Genki Sudo,Leigh Remedios,0,0,9,29,5,12,17,37,32,42,2,3,0,0,3,0,0,0,211,85,8,21,1,7,0,1,1,1,1,7,3,4,3,18,3,9,0,2,2,3,6,9,0,0,Submission ,398,2,3,Genki Sudo,Lightweight Bout
69,UFC 38: Brawl at the Hall,Mark Weir vs Eugene Jackson,Mark Weir,Eugene Jackson,1,0,4,6,0,1,4,6,0,1,0,0,0,0,0,0,0,0,1,0,4,6,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,3,4,0,0,KO/TKO ,10,1,3,Mark Weir,Middleweight Bout
70,UFC 38: Brawl at the Hall,Ian Freeman vs Frank Mir,Ian Freeman,Frank Mir,0,0,34,44,6,10,60,70,6,10,0,0,1,5,0,3,1,0,177,15,28,38,1,4,5,5,3,4,1,1,2,2,3,6,4,8,11,11,2,2,20,27,0,0,KO/TKO ,275,1,3,Ian Freeman,Heavyweight Bout
71,UFC 38: Brawl at the Hall,Matt Hughes vs Carlos Newton,Matt Hughes,Carlos Newton,0,0,58,77,3,9,104,123,8,14,4,6,0,1,1,1,0,1,977,52,47,65,3,9,11,12,0,0,0,0,0,0,0,5,1,6,1,1,0,1,57,71,2,2,KO/TKO ,1117,4,5,Matt Hughes,UFC Welterweight Title Bout
72,UFC 37.5: As Real As It Gets,Yves Edwards vs Joao Pierini,Yves Edwards,Joao Pierini,0,0,6,9,1,7,6,9,1,7,0,0,0,0,0,0,0,0,9,0,3,6,1,7,0,0,0,0,3,3,0,0,5,6,1,7,0,0,0,0,1,3,0,0,KO/TKO ,79,1,3,Yves Edwards,Lightweight Bout
73,UFC 37.5: As Real As It Gets,Tony Fryklund vs Rodrigo Ruas,Tony Fryklund,Rodrigo Ruas,1,0,60,102,11,31,127,174,19,42,0,0,0,0,1,0,0,0,415,4,52,93,5,25,6,6,0,0,2,3,6,6,6,17,9,24,5,7,2,7,49,78,0,0,KO/TKO ,514,2,3,Tony Fryklund,Middleweight Bout
74,UFC 37.5: As Real As It Gets,Robbie Lawler vs Steve Berger,Robbie Lawler,Steve Berger,1,0,28,51,11,37,39,62,28,54,1,1,1,3,0,0,0,0,122,26,16,39,2,26,12,12,8,10,0,0,1,1,3,14,0,16,17,23,11,21,8,14,0,0,KO/TKO ,327,2,3,Robbie Lawler,Welterweight Bout
75,UFC 37.5: As Real As It Gets,Pete Spratt vs Zach Light,Pete Spratt,Zach Light,0,0,3,5,2,5,5,7,13,16,0,0,1,1,1,0,0,0,3,123,1,3,2,5,2,2,0,0,0,0,0,0,2,4,1,1,1,1,0,0,0,0,1,4,Submission ,145,1,3,Pete Spratt,Welterweight Bout
76,UFC 37.5: As Real As It Gets,Benji Radach vs Nick Serra,Benji Radach,Nick Serra,1,0,26,46,0,8,67,92,23,31,0,0,1,10,0,2,0,0,614,104,24,43,0,8,2,3,0,0,0,0,0,0,3,9,0,8,2,2,0,0,21,35,0,0,Decision - Unanimous ,900,3,3,Benji Radach,Welterweight Bout
77,UFC 37.5: As Real As It Gets,Chuck Liddell vs Vitor Belfort,Chuck Liddell,Vitor Belfort,1,0,43,78,20,42,59,95,26,49,0,0,3,4,0,0,0,0,214,126,7,38,12,32,5,7,0,1,31,33,8,9,20,53,14,34,17,18,3,3,6,7,3,5,Decision - Unanimous ,900,3,3,Chuck Liddell,Light Heavyweight Bout
78,UFC 37: High Impact,Robbie Lawler vs Aaron Riley,Robbie Lawler,Aaron Riley,1,0,64,153,55,130,87,176,93,170,6,8,0,3,0,1,0,0,269,86,52,137,18,83,9,11,18,20,3,5,19,27,34,94,31,83,21,41,24,47,9,18,0,0,Decision - Unanimous ,900,3,3,Robbie Lawler,Welterweight Bout
79,UFC 37: High Impact,Benji Radach vs Steve Berger,Benji Radach,Steve Berger,1,0,10,12,0,2,10,12,0,2,0,0,0,0,0,0,0,0,13,0,10,12,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,9,11,0,0,Overturned ,27,1,3,NC,Welterweight Bout
80,UFC 37: High Impact,Ivan Salaverry vs Andrei Semenov,Ivan Salaverry,Andrei Semenov,0,0,43,72,5,46,156,190,5,46,2,2,1,2,8,1,0,0,355,105,20,39,3,40,6,9,0,1,17,24,2,5,26,45,5,44,4,7,0,1,13,20,0,1,KO/TKO ,747,3,3,Ivan Salaverry,Middleweight Bout
81,UFC 37: High Impact,Caol Uno vs Yves Edwards,Caol Uno,Yves Edwards,0,0,19,32,13,23,58,81,30,42,3,6,1,1,1,1,2,0,408,230,8,19,5,14,2,3,3,4,9,10,5,5,6,13,5,10,6,8,7,11,7,11,1,2,Decision - Unanimous ,900,3,3,Caol Uno,Lightweight Bout
82,UFC 37: High Impact,Phil Baroni vs Amar Suloev,Phil Baroni,Amar Suloev,0,0,11,23,9,15,19,33,9,15,0,2,1,1,0,1,0,0,51,3,10,19,7,13,0,1,0,0,1,3,2,2,4,14,7,13,0,0,0,0,7,9,2,2,KO/TKO ,179,1,3,Phil Baroni,Middleweight Bout
83,UFC 37: High Impact,BJ Penn vs Paul Creighton,BJ Penn,Paul Creighton,0,0,39,56,6,8,91,108,8,10,0,0,3,8,0,0,0,0,208,106,17,32,2,4,14,14,4,4,8,10,0,0,2,7,1,3,20,21,4,4,17,28,1,1,KO/TKO ,503,2,3,BJ Penn,Lightweight Bout
84,UFC 37: High Impact,Ricco Rodriguez vs Tsuyoshi Kohsaka,Ricco Rodriguez,Tsuyoshi Kohsaka,0,0,19,33,6,11,58,77,27,33,3,5,1,1,1,0,0,0,430,33,18,30,3,8,1,3,2,2,0,0,1,1,0,3,1,2,1,1,3,7,18,29,2,2,KO/TKO ,505,2,3,Ricco Rodriguez,Heavyweight Bout
85,UFC 37: High Impact,Murilo Bustamante vs Matt Lindland,Murilo Bustamante,Matt Lindland,1,0,17,40,35,66,39,62,82,113,2,2,0,3,2,1,0,1,191,297,15,38,6,35,2,2,9,10,0,0,20,21,7,13,7,28,2,5,25,33,8,22,3,5,Submission ,693,3,5,Murilo Bustamante,UFC Middleweight Title Bout
86,UFC 36: Worlds Collide,Sean Sherk vs Jutaro Nakao,Sean Sherk,Jutaro Nakao,0,0,21,30,4,20,227,241,8,24,7,14,0,0,0,0,0,0,730,2,16,25,1,13,1,1,2,6,4,4,1,1,2,6,2,14,5,6,2,6,14,18,0,0,Decision - Unanimous ,900,3,3,Sean Sherk,Welterweight Bout
87,UFC 36: Worlds Collide,Matt Serra vs Kelly Dullanty,Matt Serra,Kelly Dullanty,0,0,2,8,0,1,14,20,17,21,1,3,0,0,3,0,0,0,142,11,2,8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,6,0,0,Submission ,178,1,3,Matt Serra,Lightweight Bout
88,UFC 36: Worlds Collide,Frank Mir vs Pete Williams,Frank Mir,Pete Williams,0,0,4,6,0,1,4,6,0,1,0,0,1,1,1,0,0,0,2,19,1,3,0,1,1,1,0,0,2,2,0,0,4,6,0,1,0,0,0,0,0,0,0,0,Submission ,46,1,3,Frank Mir,Heavyweight Bout
89,UFC 36: Worlds Collide,Evan Tanner vs Elvis Sinosic,Evan Tanner,Elvis Sinosic,0,0,7,13,4,8,12,18,7,11,0,0,0,0,0,0,0,0,103,0,5,10,0,4,2,3,2,2,0,0,2,2,0,4,2,5,2,3,2,3,5,6,0,0,TKO - Doctor's Stoppage ,126,1,3,Evan Tanner,Light Heavyweight Bout
90,UFC 36: Worlds Collide,Matt Lindland vs Pat Miletich,Matt Lindland,Pat Miletich,0,0,20,40,1,2,62,85,1,2,1,1,0,0,0,0,0,0,170,0,19,39,0,1,1,1,1,1,0,0,0,0,0,2,1,2,0,0,0,0,20,38,0,0,KO/TKO ,189,1,3,Matt Lindland,Middleweight Bout
91,UFC 36: Worlds Collide,Matt Hughes vs Hayato Sakurai,Matt Hughes,Hayato Sakurai,0,1,36,58,5,12,112,137,14,22,9,11,0,0,0,0,0,0,952,0,34,56,4,11,2,2,0,0,0,0,1,1,8,12,5,12,1,1,0,0,27,45,0,0,KO/TKO ,1081,4,5,Matt Hughes,UFC Welterweight Title Bout
92,UFC 36: Worlds Collide,Pedro Rizzo vs Andrei Arlovski,Pedro Rizzo,Andrei Arlovski,1,0,27,80,38,95,27,80,38,95,0,0,0,0,0,0,0,0,0,0,10,55,10,48,1,1,1,1,16,24,27,46,26,79,37,93,1,1,1,2,0,0,0,0,KO/TKO ,705,3,3,Pedro Rizzo,Heavyweight Bout
93,UFC 36: Worlds Collide,Josh Barnett vs Randy Couture,Josh Barnett,Randy Couture,0,0,44,75,18,21,53,85,33,37,0,0,1,3,1,0,0,0,115,438,31,60,13,15,12,13,4,5,1,2,1,1,0,2,0,1,13,15,8,8,31,58,10,12,KO/TKO ,575,2,5,Josh Barnett,UFC Heavyweight Title Bout
94,UFC 35: Throwdown,Eugene Jackson vs Keith Rockel,Eugene Jackson,Keith Rockel,0,0,1,3,6,10,44,47,21,25,0,1,2,2,1,2,0,0,4,331,1,3,4,8,0,0,1,1,0,0,1,1,1,3,2,2,0,0,0,0,0,0,4,8,Submission ,374,2,3,Eugene Jackson,Middleweight Bout
